id,category,title,description,priority,do_dont,platform,code_good,code_bad
performance-52,Performance,Bundle Size,Large JavaScript slows interaction,Medium,do:Monitor and minimize bundle size dont:Ignore bundle size growth,Web,Bundle analyzer,No size monitoring
performance-53,Performance,Render Blocking,CSS/JS can block first paint,Medium,do:Inline critical CSS defer non-critical dont:Large blocking CSS files,Web,Critical CSS inline,All CSS in head
forms-54,Forms,Input Labels,Every input needs a visible label,High,do:Always show label above or beside input dont:Placeholder as only label,All,<label>Email</label><input>,placeholder='Email' only
forms-55,Forms,Error Placement,Errors should appear near the problem,Medium,do:Show error below related input dont:Single error message at top of form,All,Error under each field,All errors at form top
forms-56,Forms,Inline Validation,Validate as user types or on blur,Medium,do:Validate on blur for most fields dont:Validate only on submit,All,onBlur validation,Submit-only validation
forms-57,Forms,Input Types,Use appropriate input types,Medium,do:Use email tel number url etc dont:Text input for everything,All,type='email',type='text' for email
forms-58,Forms,Autofill Support,Help browsers autofill correctly,Medium,do:Use autocomplete attribute properly dont:Block or ignore autofill,Web,autocomplete='email',autocomplete='off' everywhere
forms-59,Forms,Required Indicators,Mark required fields clearly,Medium,do:Use asterisk or (required) text dont:No indication of required fields,All,* required indicator,Guess which are required
forms-60,Forms,Password Visibility,Let users see password while typing,Medium,do:Toggle to show/hide password dont:No visibility toggle,All,Show/hide password button,Password always hidden
forms-61,Forms,Submit Feedback,Confirm form submission status,High,do:Show loading then success/error state dont:No feedback after submit,All,Loading -> Success message,Button click with no response
forms-62,Forms,Input Affordance,Inputs should look interactive,Medium,do:Use distinct input styling dont:Inputs that look like plain text,All,Border/background on inputs,Borderless inputs
forms-63,Forms,Mobile Keyboards,Show appropriate keyboard for input type,Medium,do:Use inputmode attribute dont:Default keyboard for all inputs,Mobile,inputmode='numeric',Text keyboard for numbers
responsive-64,Responsive,Mobile First,Design for mobile then enhance for larger,Medium,do:Start with mobile styles then add breakpoints dont:Desktop-first causing mobile issues,Web,Default mobile + md: lg: xl:,Desktop default + max-width queries
responsive-65,Responsive,Breakpoint Testing,Test at all common screen sizes,Medium,do:Test at 320 375 414 768 1024 1440 dont:Only test on your device,Web,Multiple device testing,Single device development
responsive-66,Responsive,Touch Friendly,Mobile layouts need touch-sized targets,High,do:Increase touch targets on mobile dont:Same tiny buttons on mobile,Web,Larger buttons on mobile,Desktop-sized targets on mobile
responsive-67,Responsive,Readable Font Size,Text must be readable on all devices,High,do:Minimum 16px body text on mobile dont:Tiny text on mobile,All,text-base or larger,text-xs for body text
responsive-68,Responsive,Viewport Meta,Set viewport for mobile devices,High,do:Use width=device-width initial-scale=1 dont:Missing or incorrect viewport,Web,<meta name='viewport'...>,No viewport meta tag
responsive-69,Responsive,Horizontal Scroll,Avoid horizontal scrolling,High,do:Ensure content fits viewport width dont:Content wider than viewport,Web,max-w-full overflow-x-hidden,Horizontal scrollbar on mobile
responsive-70,Responsive,Image Scaling,Images should scale with container,Medium,do:Use max-width: 100% on images dont:Fixed width images overflow,Web,max-w-full h-auto,width='800' fixed
responsive-71,Responsive,Table Handling,Tables can overflow on mobile,Medium,do:Use horizontal scroll or card layout dont:Wide tables breaking layout,Web,overflow-x-auto wrapper,Table overflows viewport
typography-72,Typography,Line Height,Adequate line height improves readability,Medium,do:Use 1.5-1.75 for body text dont:Cramped or excessive line height,All,leading-relaxed (1.625),leading-none (1)
typography-73,Typography,Line Length,Long lines are hard to read,Medium,do:Limit to 65-75 characters per line dont:Full-width text on large screens,Web,max-w-prose,Full viewport width text
typography-74,Typography,Font Size Scale,Consistent type hierarchy aids scanning,Medium,do:Use consistent modular scale dont:Random font sizes,All,Type scale (12 14 16 18 24 32),Arbitrary sizes
typography-75,Typography,Font Loading,Fonts should load without layout shift,Medium,do:Reserve space with fallback font dont:Layout shift when fonts load,Web,font-display: swap + similar fallback,No fallback font
typography-76,Typography,Contrast Readability,Body text needs good contrast,High,do:Use darker text on light backgrounds dont:Gray text on gray background,All,text-gray-900 on white,text-gray-400 on gray-100
typography-77,Typography,Heading Clarity,Headings should stand out from body,Medium,do:Clear size/weight difference dont:Headings similar to body text,All,Bold + larger size,Same size as body
feedback-78,Feedback,Loading Indicators,Show system status during waits,High,do:Show spinner/skeleton for operations > 300ms dont:No feedback during loading,All,Skeleton or spinner,Frozen UI
feedback-79,Feedback,Empty States,Guide users when no content exists,Medium,do:Show helpful message and action dont:Blank empty screens,All,No items yet. Create one!,Empty white space
feedback-80,Feedback,Error Recovery,Help users recover from errors,Medium,do:Provide clear next steps dont:Error without recovery path,All,Try again button + help link,Error message only
feedback-81,Feedback,Progress Indicators,Show progress for multi-step processes,Medium,do:Step indicators or progress bar dont:No indication of progress,All,Step 2 of 4 indicator,No step information
feedback-82,Feedback,Toast Notifications,Transient messages for non-critical info,Medium,do:Auto-dismiss after 3-5 seconds dont:Toasts that never disappear,All,Auto-dismiss toast,Persistent toast
feedback-83,Feedback,Confirmation Messages,Confirm successful actions,Medium,do:Brief success message dont:Silent success,All,Saved successfully toast,No confirmation
content-84,Content,Truncation,Handle long content gracefully,Medium,do:Truncate with ellipsis and expand option dont:Overflow or broken layout,All,line-clamp-2 with expand,Overflow or cut off
content-85,Content,Date Formatting,Use locale-appropriate date formats,Low,do:Use relative or locale-aware dates dont:Ambiguous date formats,All,2 hours ago or locale format,01/02/03
content-86,Content,Number Formatting,Format large numbers for readability,Low,do:Use thousand separators or abbreviations dont:Long unformatted numbers,All,"1.2K or 1,234",1234567
content-87,Content,Placeholder Content,Show realistic placeholders during dev,Low,do:Use realistic sample data dont:Lorem ipsum everywhere,All,Real sample content,Lorem ipsum
onboarding-88,Onboarding,User Freedom,Users should be able to skip tutorials,Medium,do:Provide Skip and Back buttons dont:Force linear unskippable tour,All,Skip Tutorial button,Locked overlay until finished
search-89,Search,Autocomplete,Help users find results faster,Medium,do:Show predictions as user types dont:Require full type and enter,Web,Debounced fetch + dropdown,No suggestions
search-90,Search,No Results,Dead ends frustrate users,Medium,do:Show 'No results' with suggestions dont:Blank screen or '0 results',Web,Try searching for X instead,No results found.
data-entry-91,Data Entry,Bulk Actions,Editing one by one is tedious,Low,do:Allow multi-select and bulk edit dont:Single row actions only,Web,Checkbox column + Action bar,Repeated actions per row
ai-interaction-92,AI Interaction,Disclaimer,Users need to know they talk to AI,High,do:Clearly label AI generated content dont:Present AI as human,All,AI Assistant label,Fake human name without label
ai-interaction-93,AI Interaction,Streaming,Waiting for full text is slow,Medium,do:Stream text response token by token dont:Show loading spinner for 10s+,All,Typewriter effect,Spinner until 100% complete
spatial-ui-94,Spatial UI,Gaze Hover,Elements should respond to eye tracking before pinch,High,do:Scale/highlight element on look dont:Static element until pinch,VisionOS,hoverEffect(),onTap only
spatial-ui-95,Spatial UI,Depth Layering,UI needs Z-depth to separate content from environment,Medium,do:Use glass material and z-offset dont:Flat opaque panels blocking view,VisionOS,.glassBackgroundEffect(),bg-white
sustainability-96,Sustainability,Auto-Play Video,Video consumes massive data and energy,Medium,do:Click-to-play or pause when off-screen dont:Auto-play high-res video loops,Web,playsInline muted preload='none',autoplay loop
sustainability-97,Sustainability,Asset Weight,Heavy 3D/Image assets increase carbon footprint,Medium,do:Compress and lazy load 3D models dont:Load 50MB textures,Web,Draco compression,Raw .obj files
ai-interaction-98,AI Interaction,Feedback Loop,AI needs user feedback to improve,Low,do:Thumps up/down or 'Regenerate' dont:Static output only,All,Feedback component,Read-only text
accessibility-99,Accessibility,Motion Sensitivity,Parallax/Scroll-jacking causes nausea,High,do:Respect prefers-reduced-motion dont:Force scroll effects,All,@media (prefers-reduced-motion),ScrollTrigger.create()
