name,primary,secondary,accent,background,text,mood,best_for,on_primary,on_secondary,on_accent,card,card_foreground,muted,muted_foreground,border,destructive,on_destructive,ring
Portfolio/Personal,#18181B,#3F3F46,#2563EB,#FAFAFA,#09090B,Monochrome + blue accent,Portfolio/Personal,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#18181B
Gaming,#7C3AED,#A78BFA,#F43F5E,#0F0F23,#E2E8F0,Neon purple + rose action,Gaming,#FFFFFF,#0F172A,#FFFFFF,#1E1C35,#E2E8F0,#27273B,#94A3B8,#4C1D95,#EF4444,#FFFFFF,#7C3AED
Government/Public Service,#0F172A,#334155,#0369A1,#F8FAFC,#020617,High contrast navy + blue,Government/Public Service,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#020617,#E8ECF1,#64748B,#E2E8F0,#DC2626,#FFFFFF,#0F172A
Fintech/Crypto,#F59E0B,#FBBF24,#8B5CF6,#0F172A,#F8FAFC,Gold trust + purple tech,Fintech/Crypto,#0F172A,#0F172A,#FFFFFF,#222735,#F8FAFC,#272F42,#94A3B8,#334155,#EF4444,#FFFFFF,#F59E0B
Social Media App,#E11D48,#FB7185,#2563EB,#FFF1F2,#881337,Vibrant rose + engagement blue,Social Media App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#881337,#F0ECF2,#64748B,#FECDD3,#DC2626,#FFFFFF,#E11D48
Productivity Tool,#0D9488,#14B8A6,#EA580C,#F0FDFA,#134E4A,Teal focus + action orange [Accent adjusted from #F97316 for WCAG 3:1],Productivity Tool,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F1F4,#64748B,#99F6E4,#DC2626,#FFFFFF,#0D9488
Design System/Component Library,#4F46E5,#6366F1,#EA580C,#EEF2FF,#312E81,Indigo brand + doc hierarchy [Accent adjusted from #F97316 for WCAG 3:1],Design System/Component Library,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#312E81,#EBEEF8,#64748B,#C7D2FE,#DC2626,#FFFFFF,#4F46E5
AI/Chatbot Platform,#7C3AED,#A78BFA,#0891B2,#FAF5FF,#1E1B4B,AI purple + cyan interactions [Accent adjusted from #06B6D4 for WCAG 3:1],AI/Chatbot Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#1E1B4B,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
NFT/Web3 Platform,#8B5CF6,#A78BFA,#FBBF24,#0F0F23,#F8FAFC,Purple tech + gold value,NFT/Web3 Platform,#FFFFFF,#0F172A,#0F172A,#1E1D35,#F8FAFC,#27273B,#94A3B8,#4C1D95,#EF4444,#FFFFFF,#8B5CF6
Creator Economy Platform,#EC4899,#F472B6,#EA580C,#FDF2F8,#831843,Creator pink + engagement orange [Accent adjusted from #F97316 for WCAG 3:1],Creator Economy Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899
Remote Work/Collaboration Tool,#6366F1,#818CF8,#059669,#F5F3FF,#312E81,Calm indigo + success green [Accent adjusted from #10B981 for WCAG 3:1],Remote Work/Collaboration Tool,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#312E81,#EBEFF9,#64748B,#E0E7FF,#DC2626,#FFFFFF,#6366F1
Mental Health App,#8B5CF6,#C4B5FD,#059669,#FAF5FF,#4C1D95,Calming lavender + wellness green [Accent adjusted from #10B981 for WCAG 3:1],Mental Health App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#EDEFF9,#64748B,#EDE9FE,#DC2626,#FFFFFF,#8B5CF6
Pet Tech App,#F97316,#FB923C,#2563EB,#FFF7ED,#9A3412,Playful orange + trust blue,Pet Tech App,#0F172A,#0F172A,#FFFFFF,#FFFFFF,#9A3412,#F1F0F0,#64748B,#FED7AA,#DC2626,#FFFFFF,#F97316
Smart Home/IoT Dashboard,#1E293B,#334155,#22C55E,#0F172A,#F8FAFC,Dark tech + status green,Smart Home/IoT Dashboard,#FFFFFF,#FFFFFF,#0F172A,#1B2336,#F8FAFC,#272F42,#94A3B8,#475569,#EF4444,#FFFFFF,#1E293B
EV/Charging Ecosystem,#0891B2,#22D3EE,#16A34A,#ECFEFF,#164E63,Electric cyan + eco green [Accent adjusted from #22C55E for WCAG 3:1],EV/Charging Ecosystem,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2
Subscription Box Service,#D946EF,#E879F9,#EA580C,#FDF4FF,#86198F,Excitement purple + urgency orange [Accent adjusted from #F97316 for WCAG 3:1],Subscription Box Service,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#86198F,#F0EEF9,#64748B,#F5D0FE,#DC2626,#FFFFFF,#D946EF
Podcast Platform,#1E1B4B,#312E81,#F97316,#0F0F23,#F8FAFC,Dark audio + warm accent,Podcast Platform,#FFFFFF,#FFFFFF,#0F172A,#1B1B30,#F8FAFC,#27273B,#94A3B8,#4338CA,#EF4444,#FFFFFF,#1E1B4B
Dating App,#E11D48,#FB7185,#EA580C,#FFF1F2,#881337,Romantic rose + warm orange [Accent adjusted from #F97316 for WCAG 3:1],Dating App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#881337,#F0ECF2,#64748B,#FECDD3,#DC2626,#FFFFFF,#E11D48
Micro-Credentials/Badges Platform,#0369A1,#0EA5E9,#A16207,#F0F9FF,#0C4A6E,Trust blue + achievement gold [Accent adjusted from #CA8A04 for WCAG 3:1],Micro-Credentials/Badges Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1
Knowledge Base/Documentation,#475569,#64748B,#2563EB,#F8FAFC,#1E293B,Neutral grey + link blue,Knowledge Base/Documentation,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E293B,#EAEFF3,#64748B,#E2E8F0,#DC2626,#FFFFFF,#475569
Hyperlocal Services,#059669,#10B981,#EA580C,#ECFDF5,#064E3B,Location green + action orange [Accent adjusted from #F97316 for WCAG 3:1],Hyperlocal Services,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#064E3B,#E8F1F3,#64748B,#A7F3D0,#DC2626,#FFFFFF,#059669
Beauty/Spa/Wellness Service,#EC4899,#F9A8D4,#8B5CF6,#FDF2F8,#831843,Soft pink + lavender luxury,Beauty/Spa/Wellness Service,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899
Luxury/Premium Brand,#1C1917,#44403C,#A16207,#FAFAF9,#0C0A09,Premium black + gold accent [Accent adjusted from #CA8A04 for WCAG 3:1],Luxury/Premium Brand,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0C0A09,#E8ECF0,#64748B,#D6D3D1,#DC2626,#FFFFFF,#1C1917
Restaurant/Food Service,#DC2626,#F87171,#A16207,#FEF2F2,#450A0A,Appetizing red + warm gold [Accent adjusted from #CA8A04 for WCAG 3:1],Restaurant/Food Service,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#450A0A,#F0EDF1,#64748B,#FECACA,#DC2626,#FFFFFF,#DC2626
Fitness/Gym App,#F97316,#FB923C,#22C55E,#1F2937,#F8FAFC,Energy orange + success green,Fitness/Gym App,#0F172A,#0F172A,#0F172A,#313742,#F8FAFC,#37414F,#94A3B8,#374151,#EF4444,#FFFFFF,#F97316
Real Estate/Property,#0F766E,#14B8A6,#0369A1,#F0FDFA,#134E4A,Trust teal + professional blue,Real Estate/Property,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F0F3,#64748B,#99F6E4,#DC2626,#FFFFFF,#0F766E
Travel/Tourism Agency,#0EA5E9,#38BDF8,#EA580C,#F0F9FF,#0C4A6E,Sky blue + adventure orange [Accent adjusted from #F97316 for WCAG 3:1],Travel/Tourism Agency,#0F172A,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9
Hotel/Hospitality,#1E3A8A,#3B82F6,#A16207,#F8FAFC,#1E40AF,Luxury navy + gold service [Accent adjusted from #CA8A04 for WCAG 3:1],Hotel/Hospitality,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E40AF,#E9EEF5,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E3A8A
Wedding/Event Planning,#DB2777,#F472B6,#A16207,#FDF2F8,#831843,Romantic pink + elegant gold [Accent adjusted from #CA8A04 for WCAG 3:1],Wedding/Event Planning,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#831843,#F0EDF4,#64748B,#FBCFE8,#DC2626,#FFFFFF,#DB2777
Legal Services,#1E3A8A,#1E40AF,#B45309,#F8FAFC,#0F172A,Authority navy + trust gold,Legal Services,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EEF5,#64748B,#CBD5E1,#DC2626,#FFFFFF,#1E3A8A
Insurance Platform,#0369A1,#0EA5E9,#16A34A,#F0F9FF,#0C4A6E,Security blue + protected green [Accent adjusted from #22C55E for WCAG 3:1],Insurance Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1
Banking/Traditional Finance,#0F172A,#1E3A8A,#A16207,#F8FAFC,#020617,Trust navy + premium gold [Accent adjusted from #CA8A04 for WCAG 3:1],Banking/Traditional Finance,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#020617,#E8ECF1,#64748B,#E2E8F0,#DC2626,#FFFFFF,#0F172A
Online Course/E-learning,#0D9488,#2DD4BF,#EA580C,#F0FDFA,#134E4A,Progress teal + achievement orange [Accent adjusted from #F97316 for WCAG 3:1],Online Course/E-learning,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F1F4,#64748B,#5EEAD4,#DC2626,#FFFFFF,#0D9488
Non-profit/Charity,#0891B2,#22D3EE,#EA580C,#ECFEFF,#164E63,Compassion blue + action orange [Accent adjusted from #F97316 for WCAG 3:1],Non-profit/Charity,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#164E63,#E8F1F6,#64748B,#A5F3FC,#DC2626,#FFFFFF,#0891B2
Music Streaming,#1E1B4B,#4338CA,#22C55E,#0F0F23,#F8FAFC,Dark audio + play green,Music Streaming,#FFFFFF,#FFFFFF,#0F172A,#1B1B30,#F8FAFC,#27273B,#94A3B8,#312E81,#EF4444,#FFFFFF,#1E1B4B
Video Streaming/OTT,#0F0F23,#1E1B4B,#E11D48,#000000,#F8FAFC,Cinema dark + play red,Video Streaming/OTT,#FFFFFF,#FFFFFF,#FFFFFF,#0C0C0D,#F8FAFC,#181818,#94A3B8,#312E81,#EF4444,#FFFFFF,#0F0F23
Job Board/Recruitment,#0369A1,#0EA5E9,#16A34A,#F0F9FF,#0C4A6E,Professional blue + success green [Accent adjusted from #22C55E for WCAG 3:1],Job Board/Recruitment,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1
Marketplace (P2P),#7C3AED,#A78BFA,#16A34A,#FAF5FF,#4C1D95,Trust purple + transaction green [Accent adjusted from #22C55E for WCAG 3:1],Marketplace (P2P),#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
Logistics/Delivery,#2563EB,#3B82F6,#EA580C,#EFF6FF,#1E40AF,Tracking blue + delivery orange [Accent adjusted from #F97316 for WCAG 3:1],Logistics/Delivery,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E40AF,#E9EFF8,#64748B,#BFDBFE,#DC2626,#FFFFFF,#2563EB
Agriculture/Farm Tech,#15803D,#22C55E,#A16207,#F0FDF4,#14532D,Earth green + harvest gold [Accent adjusted from #CA8A04 for WCAG 3:1],Agriculture/Farm Tech,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D
Construction/Architecture,#64748B,#94A3B8,#EA580C,#F8FAFC,#334155,Industrial grey + safety orange [Accent adjusted from #F97316 for WCAG 3:1],Construction/Architecture,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#334155,#EBF0F5,#64748B,#E2E8F0,#DC2626,#FFFFFF,#64748B
Automotive/Car Dealership,#1E293B,#334155,#DC2626,#F8FAFC,#0F172A,Premium dark + action red,Automotive/Car Dealership,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#0F172A,#E9EDF1,#64748B,#E2E8F0,#DC2626,#FFFFFF,#1E293B
Photography Studio,#18181B,#27272A,#F8FAFC,#000000,#FAFAFA,Pure black + white contrast,Photography Studio,#FFFFFF,#FFFFFF,#0F172A,#0C0C0C,#FAFAFA,#181818,#94A3B8,#3F3F46,#EF4444,#FFFFFF,#18181B
Coworking Space,#F59E0B,#FBBF24,#2563EB,#FFFBEB,#78350F,Energetic amber + booking blue,Coworking Space,#0F172A,#0F172A,#FFFFFF,#FFFFFF,#78350F,#F1F2EF,#64748B,#FDE68A,#DC2626,#FFFFFF,#F59E0B
Home Services (Plumber/Electrician),#1E40AF,#3B82F6,#EA580C,#EFF6FF,#1E3A8A,Professional blue + urgent orange [Accent adjusted from #F97316 for WCAG 3:1],Home Services (Plumber/Electrician),#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E3A8A,#E9EEF6,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E40AF
Childcare/Daycare,#F472B6,#FBCFE8,#16A34A,#FDF2F8,#9D174D,Soft pink + safe green [Accent adjusted from #22C55E for WCAG 3:1],Childcare/Daycare,#0F172A,#0F172A,#FFFFFF,#FFFFFF,#9D174D,#F1F0F6,#64748B,#FCE7F3,#DC2626,#FFFFFF,#F472B6
Senior Care/Elderly,#0369A1,#38BDF8,#16A34A,#F0F9FF,#0C4A6E,Calm blue + reassuring green [Accent adjusted from #22C55E for WCAG 3:1],Senior Care/Elderly,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#E0F2FE,#DC2626,#FFFFFF,#0369A1
Medical Clinic,#0891B2,#22D3EE,#16A34A,#F0FDFA,#134E4A,Medical teal + health green [Accent adjusted from #22C55E for WCAG 3:1],Medical Clinic,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F1F6,#64748B,#CCFBF1,#DC2626,#FFFFFF,#0891B2
Pharmacy/Drug Store,#15803D,#22C55E,#0369A1,#F0FDF4,#14532D,Pharmacy green + trust blue,Pharmacy/Drug Store,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D
Dental Practice,#0EA5E9,#38BDF8,#0EA5E9,#F0F9FF,#0C4A6E,Fresh blue + smile yellow [Accent adjusted from #FBBF24 for WCAG 3:1],Dental Practice,#0F172A,#0F172A,#0F172A,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9
Veterinary Clinic,#0D9488,#14B8A6,#EA580C,#F0FDFA,#134E4A,Caring teal + warm orange [Accent adjusted from #F97316 for WCAG 3:1],Veterinary Clinic,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#134E4A,#E8F1F4,#64748B,#99F6E4,#DC2626,#FFFFFF,#0D9488
Florist/Plant Shop,#15803D,#22C55E,#EC4899,#F0FDF4,#14532D,Natural green + floral pink,Florist/Plant Shop,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#14532D,#E8F0F1,#64748B,#BBF7D0,#DC2626,#FFFFFF,#15803D
Bakery/Cafe,#92400E,#B45309,#92400E,#FEF3C7,#78350F,Warm brown + cream white [Accent adjusted from #F8FAFC for WCAG 3:1],Bakery/Cafe,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#78350F,#EDEEF0,#64748B,#FDE68A,#DC2626,#FFFFFF,#92400E
Brewery/Winery,#7C2D12,#B91C1C,#A16207,#FEF2F2,#450A0A,Deep burgundy + craft gold [Accent adjusted from #CA8A04 for WCAG 3:1],Brewery/Winery,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#450A0A,#ECEDF0,#64748B,#FECACA,#DC2626,#FFFFFF,#7C2D12
Airline,#1E3A8A,#3B82F6,#EA580C,#EFF6FF,#1E40AF,Sky blue + booking orange [Accent adjusted from #F97316 for WCAG 3:1],Airline,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1E40AF,#E9EEF5,#64748B,#BFDBFE,#DC2626,#FFFFFF,#1E3A8A
News/Media Platform,#DC2626,#EF4444,#1E40AF,#FEF2F2,#450A0A,Breaking red + link blue,News/Media Platform,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#450A0A,#F0EDF1,#64748B,#FECACA,#DC2626,#FFFFFF,#DC2626
Magazine/Blog,#18181B,#3F3F46,#EC4899,#FAFAFA,#09090B,Editorial black + accent pink,Magazine/Blog,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#18181B
Freelancer Platform,#6366F1,#818CF8,#16A34A,#EEF2FF,#312E81,Creative indigo + hire green [Accent adjusted from #22C55E for WCAG 3:1],Freelancer Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#312E81,#EBEFF9,#64748B,#C7D2FE,#DC2626,#FFFFFF,#6366F1
Marketing Agency,#EC4899,#F472B6,#0891B2,#FDF2F8,#831843,Bold pink + creative cyan [Accent adjusted from #06B6D4 for WCAG 3:1],Marketing Agency,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#831843,#F1EEF5,#64748B,#FBCFE8,#DC2626,#FFFFFF,#EC4899
Event Management,#7C3AED,#A78BFA,#EA580C,#FAF5FF,#4C1D95,Excitement purple + action orange [Accent adjusted from #F97316 for WCAG 3:1],Event Management,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
Membership/Community,#7C3AED,#A78BFA,#16A34A,#FAF5FF,#4C1D95,Community purple + join green [Accent adjusted from #22C55E for WCAG 3:1],Membership/Community,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
Newsletter Platform,#0369A1,#0EA5E9,#EA580C,#F0F9FF,#0C4A6E,Trust blue + subscribe orange [Accent adjusted from #F97316 for WCAG 3:1],Newsletter Platform,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#0C4A6E,#E7EFF5,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0369A1
Digital Products/Downloads,#6366F1,#818CF8,#16A34A,#EEF2FF,#312E81,Digital indigo + buy green [Accent adjusted from #22C55E for WCAG 3:1],Digital Products/Downloads,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#312E81,#EBEFF9,#64748B,#C7D2FE,#DC2626,#FFFFFF,#6366F1
Church/Religious Organization,#7C3AED,#A78BFA,#A16207,#FAF5FF,#4C1D95,Spiritual purple + warm gold [Accent adjusted from #CA8A04 for WCAG 3:1],Church/Religious Organization,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#4C1D95,#ECEEF9,#64748B,#DDD6FE,#DC2626,#FFFFFF,#7C3AED
Sports Team/Club,#DC2626,#EF4444,#DC2626,#FEF2F2,#7F1D1D,Team red + championship gold [Accent adjusted from #FBBF24 for WCAG 3:1],Sports Team/Club,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#7F1D1D,#F0EDF1,#64748B,#FECACA,#DC2626,#FFFFFF,#DC2626
Museum/Gallery,#18181B,#27272A,#18181B,#FAFAFA,#09090B,Gallery black + white space [Accent adjusted from #F8FAFC for WCAG 3:1],Museum/Gallery,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#18181B
Theater/Cinema,#1E1B4B,#312E81,#CA8A04,#0F0F23,#F8FAFC,Dramatic dark + spotlight gold,Theater/Cinema,#FFFFFF,#FFFFFF,#0F172A,#1B1B30,#F8FAFC,#27273B,#94A3B8,#4338CA,#EF4444,#FFFFFF,#1E1B4B
Language Learning App,#4F46E5,#818CF8,#16A34A,#EEF2FF,#312E81,Learning indigo + progress green [Accent adjusted from #22C55E for WCAG 3:1],Language Learning App,#FFFFFF,#0F172A,#FFFFFF,#FFFFFF,#312E81,#EBEEF8,#64748B,#C7D2FE,#DC2626,#FFFFFF,#4F46E5
Coding Bootcamp,#0F172A,#1E293B,#22C55E,#020617,#F8FAFC,Terminal dark + success green,Coding Bootcamp,#FFFFFF,#FFFFFF,#0F172A,#0E1223,#F8FAFC,#1A1E2F,#94A3B8,#334155,#EF4444,#FFFFFF,#0F172A
Cybersecurity Platform,#00FF41,#0D0D0D,#FF3333,#000000,#E0E0E0,Matrix green + alert red,Cybersecurity Platform,#0F172A,#FFFFFF,#FFFFFF,#0C130E,#E0E0E0,#181818,#94A3B8,#1F1F1F,#EF4444,#FFFFFF,#00FF41
Developer Tool / IDE,#1E293B,#334155,#22C55E,#0F172A,#F8FAFC,Code dark + run green,Developer Tool / IDE,#FFFFFF,#FFFFFF,#0F172A,#1B2336,#F8FAFC,#272F42,#94A3B8,#475569,#EF4444,#FFFFFF,#1E293B
Biotech / Life Sciences,#0EA5E9,#0284C7,#059669,#F0F9FF,#0C4A6E,DNA blue + life green [Accent adjusted from #10B981 for WCAG 3:1],Biotech / Life Sciences,#0F172A,#FFFFFF,#FFFFFF,#FFFFFF,#0C4A6E,#E8F2F8,#64748B,#BAE6FD,#DC2626,#FFFFFF,#0EA5E9
Space Tech / Aerospace,#F8FAFC,#94A3B8,#3B82F6,#0B0B10,#F8FAFC,Star white + launch blue,Space Tech / Aerospace,#0F172A,#0F172A,#FFFFFF,#1E1E23,#F8FAFC,#232328,#94A3B8,#1E293B,#EF4444,#FFFFFF,#F8FAFC
Architecture / Interior,#171717,#404040,#A16207,#FFFFFF,#171717,Minimal black + accent gold [Accent adjusted from #D4AF37 for WCAG 3:1],Architecture / Interior,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#171717,#E8ECF0,#64748B,#E5E5E5,#DC2626,#FFFFFF,#171717
Quantum Computing Interface,#00FFFF,#7B61FF,#FF00FF,#050510,#E0E0FF,Quantum cyan + interference purple,Quantum Computing Interface,#0F172A,#FFFFFF,#FFFFFF,#101823,#E0E0FF,#1D1D28,#94A3B8,#333344,#EF4444,#FFFFFF,#00FFFF
Biohacking / Longevity App,#FF4D4D,#4D94FF,#059669,#F5F5F7,#1C1C1E,Bio red/blue + vitality green [Accent adjusted from #00E676 for WCAG 3:1],Biohacking / Longevity App,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#1C1C1E,#F2EEF2,#64748B,#E5E5EA,#DC2626,#FFFFFF,#FF4D4D
Autonomous Drone Fleet Manager,#00FF41,#008F11,#FF3333,#0D1117,#E6EDF3,Terminal green + alert red,Autonomous Drone Fleet Manager,#0F172A,#FFFFFF,#FFFFFF,#182424,#E6EDF3,#25292F,#94A3B8,#30363D,#EF4444,#FFFFFF,#00FF41
Generative Art Platform,#18181B,#3F3F46,#EC4899,#FAFAFA,#09090B,Canvas neutral + creative pink,Generative Art Platform,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#09090B,#E8ECF0,#64748B,#E4E4E7,#DC2626,#FFFFFF,#18181B
Spatial Computing OS / App,#FFFFFF,#E5E5E5,#FFFFFF,#888888,#000000,Glass white + system blue [Accent adjusted from #007AFF for WCAG 3:1],Spatial Computing OS / App,#0F172A,#0F172A,#0F172A,#999999,#000000,#777777,#D4D4D4,#CCCCCC,#FF3B30,#FFFFFF,#007AFF
