name,description,best_for,data_requirements,js_library,keywords,secondary_options,when_not_to_use,color_guidance,accessibility_grade,accessibility_notes,a11y_fallback,interactive_level
Treemap,"Showing size relationships within a hierarchy; overview of proportional structure (e.g., budget breakdown)",Hierarchical / Nested Data,<200 nodes: SVG; 200–1000: Canvas; >1000: paginate or pre-filter before rendering,"D3.js, Recharts, ApexCharts","hierarchy, nested, treemap, parent, children, breakdown, drill","Sunburst, Nested Donut, Icicle",Hierarchy depth > 3 levels (too complex to read); user needs to compare sibling values precisely,Parent nodes: distinct hues. Children: lighter shades of same hue. White separator borders: 2–3px,C,Poor baseline accessibility. Always provide table alternative as primary view. Label all large areas.,Collapsible tree table as primary view; treemap as supplementary visual only,Hover + Drilldown
Sankey Diagram,Showing how quantities flow between nodes; multi-source multi-target distribution,Flow / Process Data,<50 flows: SVG; ≥50: Canvas; >200 flows: aggregate minor flows into 'Other' node,"D3.js (d3-sankey), Plotly","flow, process, sankey, distribution, source, target, transfer","Alluvial, Chord Diagram",Flow directions form loops (use network graph); fewer than 3 source-target pairs; mobile-primary context,Gradient from source to target color. Flow opacity: 0.4–0.6. Node labels always visible,C,Structural flow charts cannot be conveyed by color alone. Provide flow table. Avoid on mobile.,Flow table (Source → Target → Value); keyboard-traversable node list with tab stops,Hover + Drilldown
Waterfall Chart,"Showing how individual positive/negative components add up to a final total (e.g., P&L, budget variance)",Cumulative Changes,4–12 bars optimal; beyond 12 aggregate minor items into a single 'Other' bar,"ApexCharts, Highcharts, Plotly","waterfall, cumulative, variance, incremental, bridge, delta","Stacked Bar, Cascade",Changes are not additive; more than 12 bars (readability breaks); audience expects a simple total,Increases: #4CAF50. Decreases: #F44336. Start total: #2196F3. End total: #0D47A1. Running total line: dashed,AA,Color + directional arrow icon per bar (not color alone). Labels on every bar.,Table with running total column; directional arrow icons per row,Hover
Radar / Spider Chart,"Comparing multiple entities across the same fixed set of attributes (e.g., product feature comparison)",Multi-Variable Comparison,2–3 datasets maximum per chart; 5–8 axes; beyond 8 axes switch to parallel coordinates,"Chart.js, Recharts, ApexCharts","radar, spider, multi-variable, attributes, dimensions, comparison","Parallel Coordinates, Grouped Bar",Axes > 8 (unreadable); values need precise comparison (use grouped bar); audience unfamiliar with radar charts,Single dataset: #0080FF at 20% fill. Multiple: distinct hues with 30% fill. Border: full opacity,B,Limit axes to 5–8. Always provide grouped bar chart alternative for precise reading.,Grouped bar chart as mandatory alternative; include raw data table,Hover + Toggle
Candlestick Chart,Financial time-series with Open/High/Low/Close data; trading or investment product context only,Stock / Trading OHLC,Real-time: Canvas required. Historical: paginate by time range. Max 500 candles visible at once,"Lightweight Charts (TradingView), ApexCharts","stock, trading, ohlc, candlestick, finance, price, volume","OHLC Bar, Heikin-Ashi",Non-financial audience; no OHLC data available (use line chart); accessibility-first context,Bullish: #26A69A. Bearish: #EF5350. Volume bars: 40% opacity below. Body fill vs hollow for OHLC style,B,"Provide OHLC data table. Colorblind: use fill vs outline pattern (bullish = filled, bearish = hollow).",OHLC data table with sortable columns; numeric summary panel (daily change %),Real-time + Hover + Zoom
Network Graph,Mapping connections between entities; network topology or social graph exploration context,Relationship / Connection Data,≤100 nodes: SVG; 101–500: Canvas; >500: must apply clustering/LOD before rendering,"D3.js (d3-force), Vis.js, Cytoscape.js","network, graph, nodes, edges, connections, relationships, force","Hierarchical Tree, Adjacency Matrix",Node count > 500 without clustering pre-applied; user needs precise connection counts; mobile context,Node types: categorical colors. Edges: #90A4AE at 60% opacity. Highlight path: #F59E0B,D,Fundamentally inaccessible without alternative. Never use as sole representation. Always provide list alternative.,Adjacency list table (Node A → Node B → Weight); hierarchical tree view when structure allows,Drilldown + Hover + Drag
Box Plot,"Showing spread, median, and outliers of a dataset; comparing distributions across multiple groups",Distribution / Statistical,Any sample size; aggregated representation so rendering is ⚡ Excellent at any volume,"Plotly, D3.js, Chart.js (plugin)","distribution, statistical, spread, median, outlier, quartile, boxplot","Violin Plot, Beeswarm",Fewer than 20 data points per group (distribution is not meaningful); audience unfamiliar with statistical charts,Box fill: #BBDEFB. Border: #1976D2. Median line: #D32F2F bold. Outlier dots: #F44336,AA,Include stats summary table. Annotate outlier count in chart subtitle.,Stats summary table (min / Q1 / median / Q3 / max / mean); outlier count annotation,Hover
Bullet Chart,Dashboard with multiple KPIs side by side; space-constrained contexts where a gauge is too large,Performance vs Target (Compact),Ideal for 3–10 bullet charts in a grid; scales to any count efficiently,"D3.js, Plotly, Custom SVG","bullet, compact, kpi, dashboard, target, benchmark, range","Gauge, Progress Bar",Single KPI with emphasis (use gauge); data has no defined target range; fewer than 3 KPIs,Qualitative ranges: #FFCDD2 / #FFF9C4 / #C8E6C9 (bad/ok/good). Performance bar: #1976D2. Target: black 3px marker,AAA,All values always visible as text. Color ranges are labeled with text thresholds not color alone.,Numerical values always visible (not hover-only); color ranges labeled with threshold text,Hover
Waffle Chart,Showing what fraction of a whole is filled; percentage progress in a visually engaging and accessible format,Proportional / Percentage,10×10 grid standard (100 cells); for > 5 categories switch to stacked 100% bar,"D3.js, React-Waffle, Custom CSS Grid","waffle, percentage, proportion, progress, filled, grid","Pictogram, Stacked Bar 100%",More than 5 categories (use stacked bar); exact values matter over visual proportion; very tight space,3–5 categories max. 2–3px gap between cells. Each category a distinct accessible color pair,AA,Better than pie for accessibility. Percentage text label always visible. Each cell has aria-label.,Percentage text always visible; grid cells labeled with aria-label value; provide legend,Hover
Sunburst Chart,"Exploring nested proportions where both hierarchy and relative size matter (e.g., org spend breakdown)",Hierarchical Proportional,<100 nodes: SVG; 100–500: Canvas; >500: filter to top N before rendering,"D3.js (d3-hierarchy), Recharts, ApexCharts","sunburst, hierarchy, nested, proportion, radial, circle","Treemap, Icicle, Circle Packing",More than 3 hierarchy levels (outer rings become unreadable); precision matters over overview; mobile,Center to outer: darker to lighter hue. Each level 15–20% lighter. Contrasting border between sectors,C,Poor accessibility beyond 2 levels. Mandatory table alternative required for any production use.,Collapsible indented list with percentages; breadcrumb trail for current drill-down state,Drilldown + Hover
Decomposition Tree,Decomposing a metric into contributing factors; AI-assisted analysis or BI drill-down scenarios,Root Cause Analysis,Up to 5 levels deep; limit visible nodes to 20 per level for readability; lazy-load deeper levels,"Power BI (native), React-Flow, Custom D3.js","root cause, decomposition, tree, hierarchy, drill-down, ai-split, attribution","Decision Tree, Flow Chart",No clear parent-child causal relationship; audience expects a summary rather than exploration,Positive impact nodes: #2563EB. Negative impact nodes: #EF4444. Neutral connectors: #94A3B8,AA,Keyboard-navigable expand/collapse. Screen reader announces node value and % contribution.,Keyboard expand/collapse tree; screen reader announces node label + value + % impact,Drill + Expand
3D Scatter / Surface Plot,Scientific/engineering context where Z-axis carries essential info not expressible in 2D,3D Spatial Data,"WebGL required. Deck.gl: up to 1M points. Three.js: LOD required beyond 50,000 pts","Three.js, Deck.gl, Plotly 3D","3d, spatial, immersive, terrain, molecular, volumetric, point-cloud","Volumetric Rendering, Point Cloud",2D projection conveys the same insight; mobile context; accessibility-required environments; standard business dashboards,Depth cues: lighting and shading. Z-axis: color gradient (cool → warm). Transparent overlapping: opacity 0.4,D,3D spatial charts are fundamentally inaccessible. Must not be used as primary chart type in any product UI.,Mandatory 2D projection view + data table; do not use as primary chart type in product UI,Rotate + Zoom + VR
Streaming Area Chart,Live monitoring dashboards; IoT/ops data updating at ≥1 Hz; user needs current value at a glance,Real-Time Streaming,Canvas/WebGL required. Buffer last 60–300s of data. Downsample older data on scroll,"Smoothed D3.js, CanvasJS","streaming, real-time, ticker, live, velocity, pulse, monitoring","Ticker Tape, Moving Gauge",Update frequency < 1/min (use periodic-refresh line chart); flashing content without reduced-motion support,Current pulse: #00FF00 (dark theme) or #0080FF (light theme). History: fading opacity. Grid: dark background,B,Pause/resume control required. Current value as large visible text KPI. Respect prefers-reduced-motion.,Pause/resume button required; current value shown as large text KPI; prefers-reduced-motion: freeze animation,Real-time + Pause + Zoom
Word Cloud with Sentiment,NLP output visualization; exploratory analysis of text corpus sentiment; frequency-weighted keyword overview,Sentiment / Emotion,50–5000 terms optimal. Beyond 5000: apply top-N filtering before render. Avoid on mobile,"D3-cloud, Highcharts, Nivo","sentiment, emotion, nlp, opinion, feeling, text-analysis","Sentiment Arc, Radar Chart",Precise values matter (word size is inherently imprecise); screen-reader context; corpus < 50 items,Positive: #22C55E. Negative: #EF4444. Neutral: #94A3B8. Word size maps to frequency,C,Word clouds fail screen readers. Never use as sole output of NLP analysis. Always pair with list view.,Sortable list view by frequency with sentiment label column; word cloud as supplementary only,Hover + Filter
Process Map / Graph,Analyzing event logs to visualize actual process flows; identifying bottlenecks and deviations in ops/product funnels,Process Mining,<30 nodes: SVG; 30–100: Canvas; >100: apply variant filtering (top 80% of cases) before rendering,"React-Flow, Cytoscape.js, Recharts","process, mining, variants, path, bottleneck, log, event","Directed Acyclic Graph (DAG), Petri Net",No event log data available; audience expects a static flowchart (use diagram tool); node count > 100 without pre-filtering,Happy path: #10B981 thick line. Deviations: #F59E0B thin line. Bottleneck nodes: #EF4444 fill,B,Complex graphs are hard to navigate. Provide path summary text. Highlight top 3 bottlenecks as annotations.,Path summary table (variant → frequency → avg duration); top 3 bottlenecks as text annotation panel,Drag + Node-Click
